"                                                                                     ENDEREÇO","            CIDADE","                        SEDE","          SETOR","","","","","","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR",""
"","","","","","","","","","           MARÇO 2025 ","","          ABRIL  2025","","             MAIO  2025","","              JUNHO  2025","","            JULHO  2025","","         AGOSTO  2025","","   SETEMBRO  2025","","    OUTUBRO  2025","","   NOVENBRO  2025","","    DEZEMBRO  2025","","       JANEIRO 2026","","   FEVEREIRO  2026","","","",""
"","","","","","             SEA","","","","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","","",""
"Rua dos Pioneiros, 313 – Centro – CEP: 89160-063","RIO DO SUL","SEA - DSAS - RIO DO SUL","PERICIA","Tipo 02","Impressão Mono","Ricoh IM 430F","MULTIFUNCIONAL MONO RICOH IM 430F","TPSC0147","177","0","80","0","50","0","184","0","231","0","158","0","141","0","134","0","26","0","83","0","158","0","132","0","","",""
"Av. XV de Novembro, 371 – Edifício Erma Center, Sala 702 – Centro – CEP: 89600-000","JOACABA","SEA - DSAS - JOACABA","PERICIA","Tipo 02","Impressão Mono","Ricoh IM 430F","MULTIFUNCIONAL MONO RICOH IM 430F","TPSC0151","88","0","104","0","204","0","445","0","327","0","399","0","1158","0","724","0","334","0","325","0","409","0","243","0","","",""
"Rua Tenente Ary Rauen, 541 – Alto de Mafra – CEP: 89300-026","MAFRA","SEA - DSAS - MAFRA","PERICIA","Tipo 02","Impressão Mono","Ricoh IM 430F","MULTIFUNCIONAL MONO RICOH IM 430F","TPSC0153","233","0","185","0","609","0","259","0","414","0","149","0","83","0","9","0","113","0","15","0","124","0","442","0","","",""
"Rua Almirante Tamandaré, 1290 – Centro - Edifício Clínico Casa Vitta, Sala 02 – CEP: 89900-000","SAO MIGUEL DO OESTE","SEA - DSAS - S MIGUEL DO OESTE","PERICIA","Tipo 02","Impressão Mono","Ricoh IM 430F","MULTIFUNCIONAL MONO RICOH IM 430F","TPSC0159","86","0","103","0","60","0","86","0","144","0","89","0","89","0","82","0","114","0","68","0","132","0","83","0","","",""
"Rua Lauro Muller, 115 – Centro – CEP: 89520-000","CURITIBANOS","SEA - DSAS - CURITIBANOS","PERICIA","Tipo 02","Impressão Mono","Ricoh IM 430F","MULTIFUNCIONAL MONO RICOH IM 430F","TPSC7749","151","0","168","0","267","0","172","0","134","0","246","0","102","0","131","0","98","0","143","0","292","0","208","0","","",""
"Rua Thufie Mahsud, 155 - Centro - CEP: 89251-080","JARAGUA DO SUL","SEA - DSAS - JARAGUA DO SUL","PERICIA","Tipo 02","Impressão Mono","Ricoh IM 430F","MULTIFUNCIONAL MONO RICOH IM 430F","TPSC0150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",""
"Rua Nereu Ramos, 471 - Centro - CEP: 89801-120","CHAPECO","SEA - CHAPECO","PERICIA","Tipo 02","Impressão Mono","Ricoh IM 430F","MULTIFUNCIONAL MONO RICOH IM 430F","TPSC1907","73","0","152","0","123","0","85","0","37","0","63","0","60","0","113","0","47","0","125","0","91","0","96","0","","",""
"Rua Santana, 931 - Sala 11 - Portal da Vila - Bairro: Vila Nova - CEP: 887880-000","IMBITUBA","SEA - IMBITUBA","PERICIA","Tipo 02","Impressão Mono","Ricoh IM 430F","MULTIFUNCIONAL MONO RICOH IM 430F","TPSC2065","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",""
"Avenida Rui Barbosa, 325 – Centro – Edifício Estoril - Sala 102 - CEP: 88801-120","CRICIUMA","SEA - DSAS - CRICIUMA","PERICIA","Tipo 02","Impressão Mono","Ricoh IM 430F","MULTIFUNCIONAL MONO RICOH IM 430F","TPSC2427","245","0","290","0","263","0","286","0","273","0","372","0","658","0","434","0","375","0","125","0","76","0","187","0","","",""
"Rua Tubalcain Faraco, 85 - Centro - Edíficio Center Park - Salas 707/708 - Prédio da Receita Federal - CEP: 88701-150","TUBARAO","SEA - DSAS - TUBARAO","PERICIA","Tipo 02","Impressão Mono","Ricoh IM 430F","MULTIFUNCIONAL MONO RICOH IM 430F","TPSC2456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",""
